"variable","2016","2017","2018","2019","2020","2021","2022"
"marijuana_days_clean",0.6,0.5,0.6,1.3,1.5,1.1,1.2
"use30",0.6,0.5,0.6,1.3,1.5,1.1,1.2
"age_5yr",1.1,1.1,1.3,1.2,1.5,1.7,1.5
"age_6grp",0,0,0,0,0,0,0
"age_2grp",1.1,1.1,1.3,1.2,1.5,1.7,1.5
"age_imputed",0,0,0,0,0,0,0
"sex",100,100,100,0,0,0,0
"sex_reported",0,0,0.2,0,0,0,0
"birthsex",100,100,100,64.5,62.5,60.6,100
"education_raw",0.3,0.3,0.2,0.3,0.4,0.3,0.2
"education_4cat",0.3,0.3,0.2,0.3,0.4,0.3,0.2
"income_raw",13.1,14.1,13.8,15.5,16.5,18,16.9
"income_8cat",13.1,14.1,13.8,15.5,16.5,18,16.9
"general_health",0.2,0.2,0.2,0.2,0.2,0.2,0.3
"race_binary_wh",1.4,1.6,1.4,1.8,1.9,2.1,2.2
"marital",0,0,0,0,0,0,0
"employment",0,0,0,0,0,0,0
"binge_drink",0,0,0,0,0,0,0
